id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11156,An Oasis in the City,40855,Colleen,,Sydney,-33.86767,151.22497,Private room,65,90,196,2020-03-05,2.02,1,364,0,
14250,Manly Harbour House,55948,Heidi,,Manly,-33.80084,151.26378,Entire home/apt,470,2,3,2021-06-01,0.04,2,129,1,Exempt
15253,Unique Designer Rooftop Apartment in City Location,59850,Morag,,Sydney,-33.87964,151.2168,Private room,79,2,377,2021-04-19,3.54,1,342,13,PID-STRA-24061-7
44545,Sunny Darlinghurst Warehouse Apartment,112237,Atari,,Sydney,-33.87888,151.21439,Entire home/apt,130,90,76,2019-08-20,1.00,1,0,0,
58506,"Studio Yindi @ Mosman, Sydney",279955,John,,Mosman,-33.81748,151.23484,Entire home/apt,140,2,293,2021-03-22,3.13,1,311,11,PID-STRA-6093
61721,"2br Eclectic Stylish Home, 2 mins to Bondi Beach",299170,Eilish,,Waverley,-33.88905,151.27653,Entire home/apt,245,90,33,2020-04-01,0.26,1,338,1,
66009,Comfort & space in the heart of Paddington,322887,Belinda,,Woollahra,-33.88273,151.22724,Private room,90,90,1,2014-02-28,0.01,1,0,0,
67112,Quiet base to explore Sydney,160705,Liz,,Marrickville,-33.91353,151.13982,Private room,75,90,23,2013-04-02,0.18,1,363,0,
68999,A little bit of Sydney - Australia,333581,Bryan,,Hornsby,-33.72966,151.05226,Private room,89,1,61,2014-11-09,0.71,1,349,15,PID-STRA-9081
71866,A Jewel Amongst Greenery,292913,Marzena,,Randwick,-33.9086,151.25185,Entire home/apt,187,3,8,2021-04-05,0.08,2,365,1,PID-STRA-23689
86853,Bondi Beach Break 2 Bedroom Apt,476047,Ann,,Waverley,-33.8943,151.26724,Entire home/apt,224,2,131,2020-10-30,1.57,1,344,16,PID-STRA-6436
87709,Room + own Bathroom in Family Home!,480315,Marianne,,Ku-Ring-Gai,-33.70174,151.12481,Private room,70,90,24,2016-11-01,0.19,1,327,1,
92853,Balmain - spacious modern house with pool,407155,Nicole,,Leichhardt,-33.85982,151.17613,Entire home/apt,750,90,10,2013-10-07,0.08,1,351,0,
103273,Apartment in North Bondi Village,172878,Christopher,,Waverley,-33.8907,151.28519,Entire home/apt,343,3,65,2016-04-22,0.65,1,0,0,PID-STRA-4507
105938,Secret Beach Hideaway with Tropical Gardens,549372,Susanne,,Pittwater,-33.64793,151.31775,Entire home/apt,307,14,14,2019-05-01,0.23,1,287,3,PID-STRA-6470
118658,Luxury apartment by the beach,599232,James,,Waverley,-33.88918,151.28414,Entire home/apt,225,90,5,2011-11-26,0.04,1,90,0,
130970,Bright Private Room Close to the City,644516,Mel,,Sydney,-33.89338,151.20406,Private room,52,90,351,2021-06-11,4.72,2,0,13,
135691,Private room for your Bondi holiday,501973,Francine,,Waverley,-33.88823,151.26238,Private room,150,3,33,2017-11-03,0.32,2,364,0,PID-STRA-15719
153444,"Potts Point: Lrg Mod Art Deco Apt, walk everywhere",733574,Tobias,,Sydney,-33.87249,151.22479,Entire home/apt,120,7,225,2019-09-09,2.53,2,285,4,PID-STRA-6256
166468,"Artist Studio/Apartment in Dee Why, Sydney",519216,Godelieve,,Warringah,-33.75781,151.29074,Private room,158,14,18,2018-04-04,0.17,1,89,0,PID-STRA-25953
196157,Beautiful peaceful room w/ensuite,954713,Gill,,Ku-Ring-Gai,-33.76546,151.18476,Private room,50,2,49,2015-08-02,0.40,2,355,3,PID-STRA-7448
196170,"Spacious 2-Bed Unit, 5 Min Walk to Bondi Beach",954703,Diana & Lorenzo,,Waverley,-33.89531,151.26574,Entire home/apt,108,90,7,2019-01-14,0.06,1,6,0,
199043,CLOSE TO THE CITY 1,972136,Marty,,Sydney,-33.91417,151.21069,Private room,74,90,71,2016-02-06,0.81,1,89,0,
199669,Serenity Bondi Beach stay,975349,Susie,,Waverley,-33.88867,151.27357,Entire home/apt,275,8,8,2014-02-16,0.10,1,286,3,PID-STRA-17999
210439,"Great Location, Paris End,  Potts Point Sydney",519412,Sarah,,Sydney,-33.86721,151.2261,Entire home/apt,110,90,19,2020-01-07,0.27,1,0,0,
219030,The Beachhouse Eco Retreat,490291,Ingrid,,Waverley,-33.89286,151.26631,Entire home/apt,250,4,83,2019-10-23,0.98,2,282,3,PID-STRA-8961
225478,Le Soleil Beach Front Luxury Villa,1174760,Christian,,Sutherland Shire,-34.08323,151.15674,Entire home/apt,594,2,18,2021-11-02,0.17,1,301,5,PID-STRA-8241
232188,Best of Both Worlds North Narrabeen,695349,Family Team -,,Pittwater,-33.69868,151.29306,Entire home/apt,257,3,131,2020-01-04,1.17,1,213,3,PID-STRA-39021
232782,Loft Style Apartment in Sydney,1012161,Kirsteen,,Sydney,-33.8932,151.21055,Entire home/apt,110,90,21,2018-07-07,0.19,1,0,0,
236590,Modern Spacious  1bdrm Apartment !!,1240169,Margaret,,Blacktown,-33.70676,150.92431,Entire home/apt,120,90,32,2014-09-17,0.36,1,251,0,
249100,Rainforest garden apartment - deck,1305178,Judy,,North Sydney,-33.84357,151.21512,Private room,101,1,88,2019-01-01,1.06,2,85,0,PID-STRA-22297
249158,Top Floor Apartment Steps To Darling Harbour and ICC,1305383,MadeComfy,,Sydney,-33.87536,151.19675,Entire home/apt,136,90,97,2018-08-19,0.81,1,275,1,
255090,Your Own Private Studio Apartment,1340540,Tommy,,Woollahra,-33.87621,151.2327,Entire home/apt,75,90,17,2013-03-10,0.14,1,159,0,
257847,FISHERMAN'S BAY BUSH COTTAGE -  Maianbar,1356919,Laelie,,Sutherland Shire,-34.07948,151.125,Entire home/apt,300,4,29,2019-03-07,1.29,1,89,5,PID-STRA-4351
264513,Family Home on Willoughby Park.,1387801,Kristin,,Willoughby,-33.79382,151.20226,Entire home/apt,714,90,33,2012-09-17,0.28,1,0,0,
275607,Beach-chic sun drenched apartment,1440732,Jacqui,,Waverley,-33.8947,151.2704,Entire home/apt,250,90,13,2014-06-17,0.11,1,202,0,
276617,Potts Point Apt - Sunny with Views,1261500,Hugh,,Sydney,-33.8727,151.22403,Entire home/apt,123,3,293,2020-01-27,2.66,5,0,20,PID-STRA-8777
283378,Wow factor Harbour & Fire works,1475640,Joe,,Sydney,-33.87561,151.22248,Private room,275,90,0,,,1,0,0,
287388,Your own little Sydney terrace close to everything,1495023,Jess,,Sydney,-33.90002,151.19963,Entire home/apt,290,7,5,2018-05-04,0.11,1,262,0,PID-STRA-23359
290146,"Bellevue Hill Designer, Beaches, City and Views",113874,Bondi Beach Holiday Homes,,Woollahra,-33.88596,151.25758,Entire home/apt,301,2,29,2019-11-19,0.45,47,212,2,PID-STRA-18604
290929,STYLISH 2 BED + PARKING PADDINGTON,1508328,Edwina,,Woollahra,-33.88401,151.23598,Entire home/apt,240,90,6,2012-09-09,0.05,1,0,0,
291782,"BONDI  ROOM IN ARTY HOUSE,  WIFI",107189,Gab,,Waverley,-33.89447,151.25199,Private room,63,28,6,2019-01-09,0.05,1,0,0,Exempt
299749,Beachy Art Deco Apartment near Manly & 11k to CBD,1544990,Lucy,,Manly,-33.79568,151.25972,Entire home/apt,120,90,7,2018-02-17,0.14,2,0,0,
329096,Funky Victorian Terrace in Newtown,1437903,Ruth,,Marrickville,-33.89498,151.17343,Entire home/apt,200,90,1,2013-01-05,0.01,1,0,0,
330547,Large room Sydney harbour views,1686302,Pierre,,Canada Bay,-33.85329,151.16129,Private room,55,3,36,2013-11-15,0.33,2,335,0,PID-STRA-24178
340563,Resort Style minutes from the City,1727971,Gregory,,North Sydney,-33.83728,151.19655,Private room,119,3,8,2019-03-19,0.08,1,365,0,PID-STRA-9088
352147,"Sydneys garden suburb, bright & SC",1783493,Michelle,,The Hills Shire,-33.76058,151.01361,Private room,80,2,22,2018-11-15,0.20,1,335,0,PID-STRA-14039
360141,Massive Warehouse Loft Apartment,1821747,Scott,,Marrickville,-33.91701,151.15206,Entire home/apt,90,7,160,2020-05-18,2.74,1,51,1,PID-STRA-1700
363237,"1br, Parking, WiFi, Garden",1835730,Mina,,Ashfield,-33.88749,151.14016,Entire home/apt,85,90,3,2014-10-31,0.03,1,0,0,
363282,Lux pad in Potts Point,1835060,Sarah,,Sydney,-33.87112,151.22452,Entire home/apt,264,1,74,2020-01-01,0.65,1,362,1,PID-STRA-8581
365953,En suite room in gorgeous house!,1827246,Jen,,Mosman,-33.82183,151.23645,Private room,145,90,6,2017-01-14,0.09,1,358,0,
366856,Bondi Studio 5  - in the heart of Bondi,1852102,Ann And Mad,,Waverley,-33.89465,151.26372,Entire home/apt,165,2,134,2021-06-30,2.56,3,77,9,PID-STRA-6434-2
366857,Studio 8-  in the Heart of Bondi,1852102,Ann And Mad,,Waverley,-33.89247,151.26267,Entire home/apt,155,2,111,2020-01-19,1.55,3,331,9,PID-STRA-6430
368264,Sunny Flat Close To Beach & Shops,1859383,Jelle,,Randwick,-33.91946,151.24227,Entire home/apt,70,120,0,,,2,358,0,
368282,Lovely spacious 3 bedroom home,1859504,Deborah,,Marrickville,-33.89898,151.14432,Entire home/apt,290,90,6,2020-01-05,0.06,1,0,0,
368513,the best of Sydney's Shipwright Bay,1860248,Vic And  Lori,,City Of Kogarah,-33.99718,151.1158,Entire home/apt,167,90,45,2015-11-23,0.39,1,355,0,
377711,"Art-deco Flat, Quiet & Beachside",1114596,Matthew,,Randwick,-33.91097,151.25307,Entire home/apt,88,90,3,2021-10-21,0.23,2,309,2,
379498,EntireModern DesignerTerrace House,1817516,Micky,,Sydney,-33.88331,151.21261,Entire home/apt,203,2,44,2019-10-14,1.21,2,297,0,PID-STRA-38235
381091,Central + Surry Hills + Views + YAY,1905189,Michael,,Sydney,-33.88362,151.21188,Entire home/apt,149,90,350,2020-02-03,4.36,1,0,0,
