id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,11000,3,165,2020-03-04,1.32,1,363,0,M130003350
776070,Kero-kero house room 1,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,8027,3,228,2020-01-18,2.06,1,257,0,M130000243
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74475,139.79731,Private room,40000,2,95,2020-03-17,0.93,1,88,0,M130007760
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,35000,4,102,2020-12-27,1.01,1,354,0,M130000957
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,8286,3,185,2019-12-31,1.79,1,361,0,M130000057
1298200,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,,Katsushika Ku,35.73987,139.85176,Entire home/apt,13500,1,339,2020-03-13,3.27,2,145,0,M130009943
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,34600,2,163,2021-10-01,1.63,2,130,1,M130003681
1394124,Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,35000,2,226,2021-08-12,2.21,1,43,3,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.72415,139.70151,Private room,4000,3,225,2019-12-01,2.23,2,87,0,M130000166
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.7241,139.70343,Private room,4000,3,220,2020-01-05,2.16,2,341,0,M130000166
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.7362,139.85178,Entire home/apt,14000,3,304,2020-03-09,2.98,8,267,0,M130002147
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) 8F B,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,4109,2,156,2020-02-26,1.54,13,268,0,M130002186
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) 8F A,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,4109,2,130,2020-02-11,1.29,13,268,0,M130002186
